id	logFC	logCPM	F	PValue	FDR	FCthreshold	significance	significant	change
ENSMUSG00000000001	0.075572620749865	7.137617143637252	2.5719063532120905	0.13562347667248906	0.19477232695280142	2	0.05	FALSE	NONE
ENSMUSG00000000028	0.08364175936031952	5.767693309994197	0.8620002164715673	0.37208547035200956	0.455258968514063	2	0.05	FALSE	NONE
ENSMUSG00000000056	0.46439892075023814	5.129027731233087	28.17651313657556	2.0798665129455465e-4	7.870403963759852e-4	2	0.05	FALSE	NONE
ENSMUSG00000000078	-0.0018949694640554842	2.2627512021642118	5.989127817840292e-5	0.9939567003664408	0.9959262314768103	2	0.05	FALSE	NONE
ENSMUSG00000000085	-0.43390731312802033	6.846836599483732	78.4195659555697	1.6696179582521969e-6	1.4702129131914577e-5	2	0.05	FALSE	NONE
ENSMUSG00000000088	0.03629816975609226	6.206459696983696	0.3913768133163001	0.5436820568587928	0.6214744744049814	2	0.05	FALSE	NONE
ENSMUSG00000000094	0.1876491965183932	7.643075228695974	20.93883303565228	6.934640542037152e-4	0.0021685443728912787	2	0.05	FALSE	NONE
ENSMUSG00000000126	0.6367235441024568	2.404259780927185	6.4183713459591765	0.026827255812776712	0.04847966445274919	2	0.05	FALSE	NONE
ENSMUSG00000000127	0.23804611615160853	4.721168271902539	6.980971228547122	0.022013030593823403	0.040923734572095714	2	0.05	FALSE	NONE
ENSMUSG00000000131	-0.17524832895028258	6.257027853754598	8.573353220845428	0.013051871568937055	0.026082728707654802	2	0.05	FALSE	NONE
ENSMUSG00000000142	0.60009609689883	8.643065966195241	179.72588608328755	2.0356324441734274e-8	4.758987972654076e-7	2	0.05	FALSE	NONE
ENSMUSG00000000148	0.7913039903828624	3.6854131227445386	32.2141730200467	1.168942418576157e-4	4.8318410053951774e-4	2	0.05	FALSE	NONE
ENSMUSG00000000149	-0.1343361440075799	7.024366573733429	7.98827211920635	0.015722414390555866	0.030700532562108012	2	0.05	FALSE	NONE
ENSMUSG00000000154	0.44245035452247644	0.681575990156088	1.8200295964060353	0.20304058713680315	0.27449382475282436	2	0.05	FALSE	NONE
ENSMUSG00000000157	-2.3283204785678144	0.4781513774726851	36.65129000504529	6.590058325055208e-5	2.9981361650109546e-4	2	0.05	TRUE	DOWN
ENSMUSG00000000167	-0.36877711877367697	0.7788925109477631	1.2631254072690357	0.28376824678098855	0.3635098398668452	2	0.05	FALSE	NONE
ENSMUSG00000000168	0.02038179513736503	5.453157554261682	0.055053942165898234	0.8185795322761136	0.8587485516977749	2	0.05	FALSE	NONE
ENSMUSG00000000171	0.27942787236800265	6.7942018029495355	30.423490605361877	1.498640068617781e-4	5.928986629046237e-4	2	0.05	FALSE	NONE
ENSMUSG00000000184	-0.8003705820117438	6.018605316824907	39.78226005428422	4.539774053088481e-5	2.2152085470627958e-4	2	0.05	FALSE	NONE
ENSMUSG00000000194	-0.118022500258644	5.425750528522245	2.6675193186684956	0.12922747163745654	0.18719816130145298	2	0.05	FALSE	NONE
ENSMUSG00000000197	-0.1866675203525918	2.1139522370996406	0.5765134263336407	0.46282476437585673	0.5448776845756292	2	0.05	FALSE	NONE
ENSMUSG00000000214	0.561821912551135	6.20492660306719	81.21156146560969	1.395828028175309e-6	1.282452225348418e-5	2	0.05	FALSE	NONE
ENSMUSG00000000247	-0.1681228050915647	3.4431397051194246	1.4226544443173998	0.2567806142191539	0.33468503350206286	2	0.05	FALSE	NONE
ENSMUSG00000000248	4.385749449407509	1.5758661929097688	121.43202239261552	1.697422203922889e-7	2.3739737004716368e-6	2	0.05	TRUE	UP
ENSMUSG00000000253	-1.3079096914923367	5.351229703592787	247.4736000279141	3.480491640418441e-9	1.231066123487901e-7	2	0.05	TRUE	DOWN
ENSMUSG00000000275	-0.9686734889868435	1.3036708695242865	11.299815001684792	0.005910429578841591	0.013324817542920118	2	0.05	FALSE	NONE
ENSMUSG00000000276	0.3933647267563367	5.833108905959464	32.51855280894692	1.1217742180285026e-4	4.670809209741734e-4	2	0.05	FALSE	NONE
ENSMUSG00000000278	-1.5510118977353688	4.565031280276552	195.8049144047843	1.2717732215489198e-8	3.3391384218860387e-7	2	0.05	TRUE	DOWN
ENSMUSG00000000282	-0.28449951001558527	4.6308734960738	8.932761263819392	0.011677757414451881	0.023686884858046584	2	0.05	FALSE	NONE
ENSMUSG00000000290	-1.1290027308447501	0.6739031342951741	8.681619223426496	0.012618690498817442	0.025343186434297522	2	0.05	TRUE	DOWN
ENSMUSG00000000295	-0.08521036369113685	2.402717110336842	0.15053071824638992	0.7050504360998304	0.7632179783311396	2	0.05	FALSE	NONE
ENSMUSG00000000296	-0.8509665402737004	0.24359667540851804	4.870208254135906	0.04827066944506044	0.08037066462602564	2	0.05	FALSE	NONE
ENSMUSG00000000301	-0.20823066586453282	1.4728370864687137	0.6181080971787543	0.44750567316897016	0.5295367443036878	2	0.05	FALSE	NONE
ENSMUSG00000000303	-0.3978625852518455	8.73422834865996	100.8932365689927	4.5252291628699787e-7	5.231410140615056e-6	2	0.05	FALSE	NONE
ENSMUSG00000000305	-0.5192880533057632	5.0551554858861945	40.09157624330197	4.381237366428701e-5	2.1516918620090308e-4	2	0.05	FALSE	NONE
ENSMUSG00000000318	-0.8497483979455931	3.61393569526612	36.097136141473904	7.057598860990133e-5	3.1748730559834695e-4	2	0.05	FALSE	NONE
ENSMUSG00000000320	-0.12773733140440974	3.0072556011621656	0.6170076407493258	0.44790002971701637	0.5299115342917179	2	0.05	FALSE	NONE
ENSMUSG00000000325	-0.5143070515374295	4.416853620539933	25.270845991676712	3.27349329123703e-4	0.0011495114173163366	2	0.05	FALSE	NONE
ENSMUSG00000000326	-1.0585733138093278	0.6461500934326496	7.245830601674962	0.020106607562191247	0.03789557054757	2	0.05	TRUE	DOWN
ENSMUSG00000000339	0.33179572304747945	3.606691943656282	5.503454281139913	0.03764552638480377	0.0648793703271555	2	0.05	FALSE	NONE
ENSMUSG00000000340	0.11352936724640549	3.3428509084479616	0.30024617940548987	0.5941097035056855	0.6672737563312869	2	0.05	FALSE	NONE
ENSMUSG00000000346	0.06432174037963992	6.889481505102046	1.6998415631906827	0.21757512014603828	0.29100246035990013	2	0.05	FALSE	NONE
ENSMUSG00000000365	-0.25712728836471854	7.0849182165950415	30.01958737863348	1.5874242411260326e-4	6.229693349840104e-4	2	0.05	FALSE	NONE
